age,annual_income,total_debt,credit_history_years,payment_history_score,late_payments,existing_loans,employment_years,credit_utilization,debt_to_income,creditworthy
33,36782.04,16540.34,8.29,77.79,0,5,3.61,0.167,0.45,0
49,80704.04,72113.21,9.06,85.79,1,3,13.95,0.099,0.894,1
28,70316.18,49831.63,2.83,100.0,2,0,5.09,0.462,0.709,0
55,51492.51,17729.73,10.64,74.85,4,0,6.48,0.435,0.344,0
52,96925.93,42152.85,18.53,100.0,2,4,7.7,0.309,0.435,1
36,55305.65,47713.26,11.79,82.07,5,3,18.09,0.327,0.863,1
24,65706.37,50292.33,2.71,100.0,2,0,7.04,0.498,0.765,1
64,70916.1,11995.1,21.73,91.75,0,4,12.47,0.698,0.169,1
41,51367.35,27818.33,12.53,85.99,6,5,4.01,0.264,0.542,0
61,75365.0,51143.45,22.21,81.15,1,0,5.7,0.438,0.679,0
51,53264.05,23798.68,19.6,73.89,1,4,7.06,0.612,0.447,1
56,55943.96,12281.29,18.46,82.99,3,2,3.13,0.265,0.22,0
55,94978.14,68950.83,22.46,93.67,2,2,5.98,0.417,0.726,1
29,42107.11,28826.97,8.24,81.83,1,4,11.44,0.412,0.685,0
37,18000.0,2448.53,8.08,77.88,1,1,3.0,0.158,0.136,1
42,100440.61,66461.32,6.15,78.74,1,0,7.0,0.454,0.662,1
43,121085.21,27513.69,7.82,94.9,1,5,10.54,0.426,0.227,0
22,56084.08,19098.57,2.11,97.93,2,2,2.88,0.531,0.341,0
45,22389.56,21495.73,11.4,73.33,1,1,12.48,0.183,0.96,1
27,58169.35,23976.29,6.48,73.31,4,4,7.36,0.422,0.412,0
54,58703.1,21601.6,20.29,86.93,1,1,6.17,0.696,0.368,1
51,60821.68,30740.75,16.84,100.0,1,4,0.0,0.835,0.505,1
62,40505.46,18539.03,28.56,96.9,2,0,5.13,0.676,0.458,1
54,77750.35,41827.94,13.65,65.73,0,3,8.86,0.185,0.538,1
37,76539.16,18542.89,12.54,78.57,5,2,15.73,0.51,0.242,0
64,32123.08,14327.75,11.57,69.9,2,5,9.84,0.323,0.446,0
39,80382.33,13071.02,11.76,78.52,2,3,12.63,0.477,0.163,1
35,110159.07,9836.17,12.2,100.0,1,5,0.95,0.266,0.089,0
61,68783.13,38263.24,27.69,63.51,2,1,6.37,0.077,0.556,1
37,57578.85,28372.62,12.86,60.95,3,2,13.1,0.351,0.493,0
24,61875.93,14973.11,2.69,71.23,2,4,2.56,0.565,0.242,0
42,78535.65,41860.54,15.89,85.74,6,0,11.83,0.478,0.533,0
56,26925.22,10935.46,19.97,90.07,5,5,10.67,0.501,0.406,0
29,68616.6,4513.17,6.15,87.69,3,4,8.37,0.463,0.066,1
41,56409.79,18991.28,6.43,97.28,2,4,5.36,0.501,0.337,0
26,105652.15,11581.7,2.81,59.08,1,1,2.07,0.526,0.11,1
51,61168.2,26936.66,17.34,97.45,3,4,15.88,0.365,0.44,1
42,101693.53,26027.67,6.71,77.94,6,5,10.16,0.437,0.256,0
35,40717.7,3387.85,10.55,91.51,0,1,8.7,0.769,0.083,1
31,77919.7,9751.64,8.71,64.8,2,3,4.94,0.448,0.125,0
46,72026.81,26783.77,19.89,82.06,3,0,7.19,0.429,0.372,1
51,45880.96,4777.38,9.93,85.07,6,2,7.82,0.441,0.104,0
63,68902.71,49841.91,32.39,97.02,3,0,9.0,0.376,0.723,1
40,91675.41,16990.13,6.24,61.39,3,3,10.67,0.333,0.185,1
28,57876.58,28163.58,4.87,82.4,1,3,3.09,0.462,0.487,1
58,27776.82,9555.84,26.81,67.89,1,3,0.0,0.319,0.344,1
49,64613.62,19086.39,8.84,88.57,2,4,7.42,0.391,0.295,1
52,45146.69,4166.32,8.81,92.1,3,5,0.0,0.262,0.092,0
25,57468.5,41465.03,1.84,98.73,3,1,5.38,0.442,0.722,0
35,63205.07,42076.92,8.6,75.04,3,1,4.45,0.537,0.666,0
55,27475.65,1000.0,24.26,94.05,4,1,9.46,0.378,0.036,1
58,29455.52,2694.16,12.55,99.69,2,5,16.91,0.03,0.091,1
40,75605.47,52622.6,6.87,60.64,0,0,0.0,0.538,0.696,0
57,53500.19,21386.05,20.84,89.96,0,0,18.37,0.444,0.4,1
58,18000.0,5217.02,14.69,94.46,1,0,5.83,0.221,0.29,1
38,82266.57,18405.56,12.3,78.64,5,4,8.74,0.575,0.224,0
61,70992.13,40792.21,31.17,66.26,7,3,0.0,0.14,0.575,0
33,49294.75,34593.3,9.5,94.26,1,5,11.98,0.629,0.702,0
31,36029.74,21898.81,8.95,66.41,0,1,7.21,0.409,0.608,1
51,83387.77,55134.84,16.82,79.68,1,2,6.69,0.03,0.661,1
49,72685.71,24254.57,20.65,81.48,1,3,0.0,0.456,0.334,0
27,117417.25,30171.98,3.07,91.3,3,0,7.37,0.339,0.257,0
58,74244.15,26258.56,11.37,73.85,0,5,11.23,0.309,0.354,1
29,73529.47,16497.09,6.36,73.1,0,4,5.82,0.272,0.224,0
57,61327.59,10491.94,10.76,83.29,4,0,12.87,0.395,0.171,0
21,82969.07,4445.36,2.09,95.08,0,5,12.66,0.323,0.054,0
56,78751.87,19994.53,22.64,100.0,2,2,3.79,0.049,0.254,1
56,92537.95,49130.6,27.59,62.4,2,2,14.98,0.674,0.531,0
56,53530.9,9259.69,15.46,86.1,1,5,7.23,0.371,0.173,1
50,55421.04,20805.05,15.78,67.88,1,3,7.25,0.274,0.375,0
42,54459.73,39632.84,14.9,95.24,1,1,7.49,0.194,0.728,1
52,82397.64,40179.52,12.63,69.8,4,4,7.35,0.574,0.488,0
33,97964.24,56706.52,7.81,73.23,0,4,0.0,0.16,0.579,1
56,54905.51,33917.34,22.03,74.34,3,1,6.07,0.447,0.618,0
46,55654.98,31792.19,20.7,81.01,2,4,0.18,0.303,0.571,0
41,71909.7,10946.26,14.31,86.2,2,3,15.13,0.315,0.152,1
43,59593.25,33178.91,7.73,88.29,1,1,14.93,0.199,0.557,0
46,85945.18,36372.54,13.65,81.93,2,2,11.26,0.296,0.423,1
22,18000.0,8289.36,2.18,64.71,2,5,5.81,0.422,0.461,0
27,46812.49,4773.75,2.91,91.46,0,1,1.96,0.467,0.102,1
32,47786.84,2013.13,6.52,81.31,1,4,3.71,0.263,0.042,1
26,18000.0,10485.16,3.14,97.1,4,4,16.71,0.402,0.583,0
40,43799.95,21219.21,6.81,72.8,2,5,3.54,0.598,0.484,0
51,44866.57,3505.95,16.7,61.17,3,1,0.0,0.087,0.078,1
50,60575.7,37941.8,10.65,81.56,2,1,12.15,0.419,0.626,1
42,89485.25,53832.2,13.09,98.85,4,5,14.5,0.23,0.602,1
59,59608.67,5087.87,13.73,84.09,3,2,15.3,0.209,0.085,1
46,42322.1,34895.29,17.13,79.4,1,3,12.19,0.472,0.825,0
24,63747.0,1652.28,2.09,70.69,5,3,13.01,0.311,0.03,1
55,88081.82,55890.74,25.83,100.0,2,3,7.26,0.177,0.635,1
46,43528.91,32329.24,7.37,68.62,0,3,0.0,0.685,0.743,0
49,44967.35,1000.0,15.84,72.57,1,2,7.14,0.604,0.03,1
46,77288.08,42790.9,11.48,89.41,1,2,10.11,0.034,0.554,1
45,60126.21,47537.12,9.79,57.87,1,2,6.32,0.125,0.791,0
25,79244.66,48405.11,3.4,98.57,3,3,6.1,0.539,0.611,0
46,64699.77,42671.47,18.79,90.11,6,4,2.18,0.363,0.66,0
56,80436.6,35778.54,26.89,93.69,2,3,1.99,0.72,0.445,1
34,42228.28,9268.74,6.43,89.26,1,4,16.19,0.543,0.219,1
48,64734.14,47934.77,9.81,79.91,4,2,16.37,0.48,0.74,0
22,60364.82,25630.47,2.44,68.18,3,4,6.99,0.216,0.425,1
36,38250.4,23059.15,9.74,80.18,1,2,8.41,0.518,0.603,1
40,30603.49,6548.05,7.71,69.32,2,2,2.1,0.165,0.214,0
65,80086.48,45193.14,29.62,88.32,1,0,10.21,0.681,0.564,1
30,57279.05,3352.93,6.11,92.49,2,1,15.8,0.504,0.059,1
33,42509.83,30781.14,8.65,100.0,2,4,0.0,0.255,0.724,0
39,62884.06,3163.95,9.02,86.83,5,0,9.32,0.581,0.05,1
65,89816.41,60439.46,22.07,94.02,8,1,9.7,0.868,0.673,0
59,18000.0,14553.73,13.95,78.14,1,4,9.64,0.376,0.809,0
22,32073.95,7131.37,2.51,75.78,4,5,15.21,0.53,0.222,0
31,44696.5,15574.97,4.27,88.16,2,2,17.18,0.334,0.348,1
57,97145.94,29994.45,24.93,76.98,0,2,5.83,0.437,0.309,0
23,71216.91,57153.36,3.25,85.5,4,3,10.37,0.119,0.803,0
59,81880.98,45760.74,25.56,68.2,0,4,7.42,0.42,0.559,0
33,39916.46,12529.22,3.9,70.54,2,2,3.84,0.429,0.314,0
62,40370.21,10750.18,17.01,90.26,1,1,8.35,0.78,0.266,1
34,74851.9,15906.75,7.75,93.53,2,2,10.36,0.061,0.213,1
40,66282.04,18371.38,12.05,69.19,0,1,8.08,0.364,0.277,1
50,77072.25,50640.85,22.71,90.72,1,4,2.59,0.678,0.657,0
26,60871.24,35501.04,3.5,75.07,1,0,4.68,0.372,0.583,0
46,71119.16,20348.94,19.25,82.21,2,3,4.72,0.386,0.286,1
43,68478.62,52706.94,8.29,100.0,4,0,2.79,0.253,0.77,0
56,82110.88,29741.26,16.55,92.5,4,5,8.57,0.233,0.362,1
65,82754.18,54912.66,12.98,92.35,0,3,9.09,0.055,0.664,1
50,29362.82,10180.1,19.88,100.0,4,0,11.9,0.294,0.347,1
39,18000.0,5361.37,6.83,72.85,1,5,2.71,0.222,0.298,0
39,87038.4,60044.91,7.95,69.18,5,3,4.11,0.444,0.69,0
39,91129.95,16887.15,13.39,72.61,3,3,14.77,0.262,0.185,1
57,42546.29,16520.62,20.18,78.69,1,0,6.18,0.324,0.388,1
35,24083.62,19516.57,4.37,51.39,1,1,7.15,0.33,0.81,0
28,67178.77,11368.41,2.51,79.3,1,4,6.12,0.41,0.169,0
36,85478.44,13001.73,9.1,74.92,0,2,12.67,0.314,0.152,1
22,104547.08,57297.51,1.61,92.19,1,3,12.86,0.208,0.548,0
25,76358.55,23190.37,2.38,86.58,2,5,12.57,0.437,0.304,0
25,56822.23,8457.98,3.9,74.19,1,2,7.13,0.633,0.149,0
55,45351.13,17143.09,13.48,89.67,3,2,2.64,0.446,0.378,1
53,65251.93,39756.55,19.11,91.4,3,4,16.63,0.298,0.609,1
52,58416.18,10949.12,14.95,72.01,5,0,11.28,0.395,0.187,1
41,42668.51,13989.12,7.9,75.59,5,2,4.72,0.03,0.328,1
53,110072.62,74007.57,11.17,53.07,1,5,14.12,0.392,0.672,0
28,104273.7,39826.16,3.68,67.82,3,1,4.32,0.34,0.382,0
61,89993.07,57846.84,11.39,72.35,3,1,14.05,0.233,0.643,1
43,44741.29,13099.48,10.1,82.96,1,2,14.39,0.27,0.293,1
63,83810.43,57466.47,31.54,69.71,3,0,2.39,0.338,0.686,0
27,79071.78,34350.58,5.99,75.33,2,0,9.91,0.618,0.434,1
43,74736.0,16128.95,10.9,66.07,3,1,10.91,0.638,0.216,0
52,92492.64,67258.27,18.29,84.22,4,5,20.07,0.234,0.727,1
43,78978.17,33684.96,13.34,87.53,1,1,3.29,0.316,0.427,1
41,81280.31,21983.72,15.28,87.23,3,4,14.16,0.321,0.27,0
28,79011.94,11449.41,3.68,82.16,1,2,7.09,0.582,0.145,1
38,72497.41,53674.78,7.96,61.97,1,4,0.79,0.449,0.74,0
31,25760.56,1004.62,5.21,73.94,2,1,6.4,0.439,0.039,1
34,66839.66,18027.03,4.33,76.71,2,5,7.01,0.527,0.27,0
51,52763.78,5812.3,13.44,76.76,5,2,1.71,0.301,0.11,1
49,36843.5,15079.39,21.36,82.97,2,4,8.56,0.693,0.409,1
48,101999.97,38862.92,21.18,100.0,1,4,11.79,0.42,0.381,1
37,103037.9,42223.45,5.79,92.56,2,2,8.19,0.249,0.41,1
64,94902.85,32205.54,22.04,69.16,2,4,4.29,0.374,0.339,1
24,70614.7,6310.4,2.64,90.82,3,0,6.26,0.666,0.089,1
36,94713.75,46821.68,8.9,90.32,1,2,6.98,0.335,0.494,1
26,65265.17,15791.81,4.22,71.52,0,2,8.09,0.61,0.242,1
36,69461.54,37235.48,4.68,93.04,3,5,12.55,0.295,0.536,0
64,40943.63,4491.5,30.87,79.92,3,5,8.36,0.267,0.11,1
37,73733.81,1356.59,14.0,63.67,2,4,0.0,0.552,0.03,1
61,66328.49,10962.34,24.8,87.92,4,5,4.19,0.245,0.165,0
43,36341.65,26790.08,14.51,84.82,2,5,7.83,0.585,0.737,1
52,63873.66,19495.87,17.48,79.04,2,4,12.62,0.49,0.305,1
41,63245.95,31751.22,9.59,81.51,2,3,13.49,0.245,0.502,0
32,104546.35,29387.29,4.54,72.65,2,1,15.87,0.406,0.281,1
55,84672.69,35415.51,20.06,89.93,0,4,7.65,0.31,0.418,1
64,65251.8,33105.5,12.53,81.44,2,1,10.82,0.49,0.507,1
32,70473.32,7374.62,9.27,84.16,3,1,0.0,0.798,0.105,0
56,65972.67,30471.01,17.5,86.64,2,5,9.15,0.346,0.462,0
32,60535.89,14414.76,6.4,66.99,3,0,1.62,0.527,0.238,1
53,41186.6,15907.3,14.48,70.37,0,0,6.69,0.425,0.386,1
56,61676.86,3033.33,27.92,53.27,4,3,22.15,0.425,0.049,1
41,48585.84,25954.87,7.76,89.34,4,3,8.52,0.387,0.534,0
54,37493.06,22019.64,11.72,66.24,0,0,2.68,0.249,0.587,1
33,76246.88,1000.0,4.99,83.72,3,2,9.04,0.487,0.03,1
24,73607.82,39987.46,3.48,86.82,2,1,4.41,0.362,0.543,0
25,25692.43,18465.19,5.22,89.83,1,1,2.2,0.239,0.719,0
41,62300.94,20419.02,8.46,66.35,1,1,17.52,0.623,0.328,1
61,86905.43,52451.84,30.22,81.15,0,4,12.33,0.44,0.604,0
26,88302.92,47386.34,3.11,100.0,1,2,8.73,0.374,0.537,1
41,87568.41,52527.68,13.2,100.0,0,5,5.04,0.688,0.6,0
52,65856.09,52831.84,9.19,94.84,4,0,5.45,0.053,0.802,0
30,46409.0,4581.72,5.97,86.39,4,4,14.71,0.675,0.099,1
53,41158.63,18012.6,20.2,68.93,2,5,8.53,0.244,0.438,1
34,72581.31,33319.94,8.29,91.34,0,2,0.0,0.462,0.459,0
57,73344.16,6265.86,14.39,79.95,3,4,19.1,0.302,0.085,1
47,93321.28,19143.7,19.26,89.29,2,2,7.92,0.235,0.205,1
45,89199.55,62568.1,19.85,73.77,3,3,8.72,0.683,0.701,0
28,62090.97,6634.57,4.8,79.75,2,5,12.43,0.791,0.107,0
41,37627.47,17250.54,13.06,84.13,0,3,9.33,0.376,0.458,1
59,57979.65,30259.05,26.45,85.2,1,3,10.73,0.487,0.522,1
21,69779.09,14404.53,1.11,88.42,2,5,4.88,0.431,0.206,0
55,60554.17,19749.19,25.24,74.47,2,2,0.85,0.766,0.326,0
43,52286.33,36624.69,9.75,64.54,4,1,8.4,0.03,0.7,1
53,70563.47,20174.19,22.33,100.0,0,4,14.16,0.495,0.286,1
50,53912.93,1000.0,9.79,100.0,1,4,3.76,0.275,0.03,0
40,51182.55,1000.0,8.67,87.82,1,1,3.36,0.03,0.03,1
34,71851.96,51574.89,8.27,64.79,4,4,13.11,0.348,0.718,0
49,56156.16,7353.62,15.89,71.95,0,0,4.71,0.79,0.131,1
27,70370.3,27769.29,6.08,88.62,3,1,4.95,0.289,0.395,1
47,71010.49,13351.83,21.69,99.43,2,5,5.13,0.578,0.188,1
25,39932.56,7330.07,2.13,66.23,4,3,6.68,0.66,0.184,0
50,54412.7,37115.09,12.34,80.38,1,3,0.0,0.417,0.682,0
49,96631.09,43939.44,13.29,84.55,3,3,4.3,0.444,0.455,0
24,39434.25,26687.56,2.94,93.24,2,0,8.15,0.077,0.677,0
55,18433.6,1393.22,18.39,77.53,1,5,8.12,0.277,0.076,1
39,24039.41,15509.73,14.24,61.67,2,1,12.79,0.601,0.645,0
56,65640.42,41244.98,24.14,90.08,3,4,16.2,0.432,0.628,1
22,65680.18,29415.39,1.04,96.62,2,5,14.56,0.493,0.448,1
29,62412.56,17475.92,5.25,80.93,4,1,11.57,0.447,0.28,0
43,91712.18,57791.64,13.98,87.27,3,3,6.26,0.858,0.63,1
29,18000.0,8211.06,5.28,75.83,0,0,3.88,0.334,0.456,1
35,73710.55,32671.71,5.36,71.0,1,3,7.09,0.741,0.443,0
50,99351.64,77985.69,14.36,95.34,3,2,9.93,0.447,0.785,0
27,40188.82,4513.89,4.1,87.04,4,0,11.11,0.759,0.112,1
51,56644.26,14989.07,11.35,88.37,0,4,10.12,0.175,0.265,1
25,48436.38,3167.67,4.4,100.0,2,5,6.39,0.457,0.065,0
28,45324.39,18218.82,4.11,68.29,5,0,10.93,0.341,0.402,0
47,57822.24,5867.75,15.79,74.82,3,5,13.3,0.448,0.101,1
56,96404.68,55796.1,19.3,84.05,5,5,11.4,0.664,0.579,0
28,105422.51,20983.52,6.89,74.66,0,3,6.84,0.496,0.199,0
34,57609.34,23508.7,4.98,92.18,0,5,2.83,0.664,0.408,0
62,106911.32,31104.84,13.51,79.56,2,1,2.71,0.286,0.291,1
65,65782.68,30816.63,18.81,69.1,1,4,3.59,0.255,0.468,0
47,103581.2,35483.01,13.5,82.86,3,4,8.29,0.423,0.343,0
41,62947.43,41864.67,9.18,84.21,1,3,9.6,0.412,0.665,1
36,67883.27,25988.74,11.37,94.15,1,5,0.0,0.383,0.383,0
48,73040.44,13817.1,11.18,87.11,4,5,4.48,0.228,0.189,1
47,134934.78,78060.06,8.48,87.99,2,4,8.22,0.66,0.579,1
34,83728.28,38983.73,7.31,86.16,3,3,2.5,0.347,0.466,0
22,49440.18,6912.4,2.55,79.55,1,5,9.17,0.705,0.14,1
27,86317.95,54128.84,6.08,72.69,1,3,5.46,0.423,0.627,0
64,57039.68,16219.52,28.37,85.75,3,3,3.38,0.55,0.284,1
39,54225.5,7268.77,11.11,77.67,3,1,7.27,0.532,0.134,0
42,84989.23,26410.66,14.69,100.0,4,1,8.96,0.255,0.311,0
42,65683.88,6738.32,14.18,99.45,3,5,2.76,0.493,0.103,0
56,71128.67,22979.05,13.95,90.23,5,2,5.79,0.806,0.323,1
23,65307.67,32043.39,2.63,86.92,1,3,9.34,0.47,0.491,1
24,72404.83,14595.99,3.81,80.86,2,4,3.19,0.6,0.202,0
33,74349.25,43290.8,6.13,65.61,0,1,0.0,0.559,0.582,0
42,22386.73,18530.31,13.85,79.19,1,1,0.0,0.481,0.828,1
51,79664.6,43293.26,16.19,83.32,2,0,4.91,0.457,0.543,1
43,43395.57,27454.7,12.54,84.98,2,1,0.41,0.529,0.633,1
40,33269.42,22827.7,6.49,88.1,3,3,5.26,0.573,0.686,0
63,63714.95,41707.48,26.24,93.98,5,4,15.32,0.15,0.655,1
28,66847.58,24892.38,6.83,73.0,5,1,0.11,0.469,0.372,0
46,49742.86,3894.34,8.98,73.12,4,2,5.59,0.383,0.078,0
45,83282.7,35728.2,11.69,100.0,4,1,17.66,0.342,0.429,1
42,35472.15,16305.7,6.58,92.02,3,4,9.04,0.679,0.46,1
57,56047.24,12208.03,10.33,76.92,4,3,5.16,0.273,0.218,0
33,52132.77,26665.59,11.17,80.61,0,0,6.22,0.141,0.511,1
63,63975.08,1000.0,22.35,80.66,1,3,9.15,0.579,0.03,0
35,71135.01,43000.21,7.27,82.41,0,2,15.48,0.136,0.604,1
45,42826.36,14434.59,10.46,88.14,2,5,4.35,0.034,0.337,1
44,80934.22,7217.13,19.24,100.0,5,1,3.21,0.602,0.089,1
59,66386.05,14096.56,15.42,84.47,0,5,0.11,0.452,0.212,1
40,23377.18,4876.63,13.48,90.61,3,4,7.52,0.515,0.209,0
33,21910.99,1000.0,5.88,60.08,0,0,0.0,0.332,0.046,0
21,64728.98,9553.73,0.86,75.7,4,4,4.68,0.143,0.148,0
37,60138.72,12915.11,11.24,97.97,0,4,2.46,0.183,0.215,1
58,62724.76,13317.81,10.03,87.23,2,2,12.37,0.366,0.212,1
21,64384.39,17046.02,1.76,35.0,2,0,4.46,0.166,0.265,0
61,69962.32,30582.68,16.13,90.76,0,2,8.98,0.481,0.437,1
45,85848.29,20281.86,16.82,100.0,3,3,0.0,0.328,0.236,1
27,40555.69,9650.06,5.71,56.05,1,0,7.66,0.457,0.238,0
34,39216.62,4961.35,9.79,100.0,4,2,0.98,0.451,0.127,0
45,40946.88,1000.0,7.08,45.96,3,4,4.87,0.497,0.03,0
35,71356.17,15315.88,10.23,94.19,2,3,18.06,0.52,0.215,0
25,92388.84,61613.17,5.22,81.89,3,5,11.66,0.351,0.667,0
50,55510.53,38823.48,11.88,51.45,6,1,6.36,0.457,0.699,0
51,18000.0,14575.14,12.77,87.8,1,4,22.99,0.467,0.81,1
26,27512.16,1000.0,5.25,96.96,3,2,2.42,0.03,0.036,1
33,46673.19,19514.36,4.95,86.73,1,1,12.83,0.549,0.418,1
31,52729.96,12682.8,7.54,89.6,2,5,0.0,0.45,0.241,0
50,56015.45,29055.08,20.08,76.65,2,3,5.78,0.533,0.519,1
53,65848.78,43950.5,9.4,57.8,1,3,0.26,0.163,0.667,0
53,58141.58,35636.99,18.44,90.99,1,1,8.29,0.357,0.613,1
63,88085.47,58733.55,24.21,100.0,3,5,7.28,0.202,0.667,1
55,50127.62,15861.44,14.86,96.68,1,0,5.46,0.569,0.316,1
35,46029.0,17426.33,11.7,56.16,3,0,12.46,0.139,0.379,1
25,75535.26,40754.91,2.32,62.31,2,1,4.16,0.234,0.54,0
48,31215.87,13106.45,12.96,71.0,1,3,8.63,0.527,0.42,0
62,73573.22,40986.05,29.67,61.29,4,0,11.1,0.294,0.557,0
64,67256.17,3972.77,15.88,82.57,1,4,0.0,0.234,0.059,1
31,61756.27,44070.86,8.59,87.11,3,1,3.26,0.601,0.714,0
31,99942.07,67590.34,3.76,63.41,2,4,7.27,0.61,0.676,0
22,51311.44,9758.7,1.98,92.1,2,4,10.15,0.564,0.19,1
27,110326.56,53410.17,2.59,89.81,2,5,14.11,0.59,0.484,0
45,60040.51,10961.1,15.9,74.87,2,1,5.92,0.374,0.183,0
45,36905.64,18039.67,17.42,79.76,2,0,5.42,0.379,0.489,1
37,66538.23,45597.63,12.82,56.65,6,4,2.64,0.29,0.685,0
34,41322.61,12696.96,11.85,77.68,5,2,8.65,0.454,0.307,0
58,48461.37,36856.6,23.44,82.1,1,5,5.51,0.314,0.761,1
41,73734.73,6708.25,14.59,84.19,0,1,5.63,0.333,0.091,0
57,77222.81,13633.95,19.61,86.93,2,3,6.53,0.54,0.177,0
64,51312.31,16356.58,32.49,85.18,2,0,9.76,0.657,0.319,1
35,86722.91,8300.32,9.72,78.56,1,2,4.18,0.5,0.096,1
30,90465.17,30433.08,8.3,85.72,4,0,3.14,0.779,0.336,0
63,96598.64,25533.18,16.55,95.03,0,4,9.16,0.279,0.264,1
49,76647.09,21988.78,15.45,80.76,0,3,0.0,0.052,0.287,1
34,94995.43,36119.6,9.84,86.13,3,0,3.98,0.563,0.38,1
48,23622.43,17933.92,10.54,79.58,3,2,1.24,0.266,0.759,0
44,58006.06,13572.68,9.25,73.59,2,2,13.02,0.365,0.234,1
61,45925.88,28821.54,31.78,88.8,5,4,4.8,0.066,0.628,0
32,67622.97,24302.65,6.54,74.78,2,2,4.2,0.24,0.359,0
65,52428.12,17403.11,16.02,87.02,3,2,6.76,0.12,0.332,1
63,61344.53,34954.68,18.71,82.37,2,4,4.02,0.333,0.57,1
29,106407.85,41133.31,4.94,78.05,2,3,4.99,0.341,0.387,1
28,61266.16,18981.01,5.62,77.73,1,4,7.49,0.438,0.31,1
44,74103.43,45222.92,18.5,75.39,4,5,4.89,0.668,0.61,0
23,59890.07,11938.29,3.72,60.6,1,5,4.85,0.555,0.199,0
34,66665.69,22179.66,9.21,86.98,2,5,1.95,0.096,0.333,1
40,65132.37,32572.57,13.2,85.01,4,4,1.23,0.542,0.5,0
64,74863.13,20362.65,18.9,93.05,3,3,7.3,0.442,0.272,1
65,90636.77,54586.06,31.89,75.09,3,3,8.53,0.4,0.602,1
27,101242.67,20725.12,3.23,100.0,3,1,0.0,0.415,0.205,1
61,71811.64,55577.27,13.04,77.06,0,4,10.8,0.461,0.774,1
25,77970.03,45856.99,5.16,70.62,3,4,10.82,0.282,0.588,1
54,39680.98,29551.69,24.55,69.08,4,5,11.87,0.384,0.745,0
59,63066.71,45591.57,16.47,59.46,0,4,8.5,0.657,0.723,0
61,85686.37,17123.53,25.27,100.0,1,2,10.19,0.279,0.2,0
31,84051.31,34368.72,6.29,99.82,2,1,17.93,0.214,0.409,0
61,69655.41,8420.74,17.7,89.81,2,5,5.49,0.408,0.121,1
26,84500.67,58299.94,3.15,70.35,3,4,1.77,0.194,0.69,0
